id,animalid,address,y,x,location,date,type,breed,color,sex,age,image
75,A732402,1614 CHIPPEWAYAUSTIN 78745,30.206247,-97.798013,Yes (come to the shelter),8/7/16,Cat,Domestic Shorthair Mix,Brown Tabby,Intact Male,4 weeks,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732402&LOCATION=ASTN
76,A732254,9002 HUNTERS TRACEAUSTIN 78758,30.365437,-97.711976,No (contact for more info),8/4/16,Cat,Domestic Shorthair Mix,Gray Tabby,Intact Male,8 weeks,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732254&LOCATION=ASTN
77,A732193,3713 TUDOR BLVDAUSTIN 78759,30.385373,-97.739341,No (contact for more info),8/3/16,Cat,Domestic Shorthair Mix,Gray Tabby,Intact Female,6 weeks,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732193&LOCATION=ASTN
78,A732190,3713 TUDOR BLVDAUSTIN 78759,30.385373,-97.739341,No (contact for more info),8/3/16,Cat,Domestic Shorthair Mix,Gray Tabby,Intact Male,4 weeks,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732190&LOCATION=ASTN
79,A732189,3713 TUDOR BLVDAUSTIN 78759,30.385373,-97.739341,No (contact for more info),8/3/16,Cat,Domestic Shorthair Mix,Black,Intact Female,2 years,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732189&LOCATION=ASTN
80,A732192,3713 TUDOR BLVDAUSTIN 78759,30.385373,-97.739341,No (contact for more info),8/3/16,Cat,Domestic Shorthair Mix,Gray Tabby,Intact Female,4 weeks,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732192&LOCATION=ASTN
81,A732397,HOWARD LANE AUSTIN 78759,30.40316,-97.753727,Yes (come to the shelter),8/7/16,Cat,Domestic Shorthair Mix,Orange Tabby,Spayed Female,11 months,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732397&LOCATION=ASTN
82,A732422,2706 CHANNING CIRCLEAUSTIN 78745,30.212324,-97.814534,Yes (come to the shelter),8/7/16,Cat,Domestic Shorthair Mix,Brown Tabby/White,Intact Female,2 months,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732422&LOCATION=ASTN
83,A732423,2706 CHANNING CIRCLEAUSTIN 78745,30.212324,-97.814534,Yes (come to the shelter),8/7/16,Cat,Domestic Shorthair Mix,Brown Tabby/White,Intact Female,2 months,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732423&LOCATION=ASTN
84,A732342,9705 CRISWELL78754,30.350929,-97.657285,Yes (come to the shelter),8/6/16,Dog,Chihuahua Shorthair Mix,Tricolor,Intact Female,2 years,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732342&LOCATION=ASTN
85,A732420,9928 WADING POOL PATHAUSTIN 78748,30.170895,-97.819251,Yes (come to the shelter),8/7/16,Cat,Domestic Shorthair Mix,Brown Tabby,Intact Female,4 months,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732420&LOCATION=ASTN
86,A732378,619 W POWELL LNAUSTIN 78753,30.350455,-97.708406,Yes (come to the shelter),8/6/16,Cat,Domestic Medium Hair Mix,Calico,Intact Female,1 year,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732378&LOCATION=ASTN
87,A732417,15801 FM78641,32.912565,-98.27162,Yes (come to the shelter),8/7/16,Dog,Chihuahua Shorthair Mix,Tan/White,Intact Male,4 years,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732417&LOCATION=ASTN
88,A732379,619 W POWELL LNAUSTIN 78753,30.350455,-97.708406,Yes (come to the shelter),8/6/16,Cat,Domestic Medium Hair Mix,White/Brown Tabby,Intact Female,1 year,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732379&LOCATION=ASTN
89,A732376,619 W POWELL LNAUSTIN 78753,30.350455,-97.708406,Yes (come to the shelter),8/6/16,Cat,Domestic Medium Hair Mix,Black,Intact Male,4 weeks,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732376&LOCATION=ASTN
90,A732377,619 W POWELL LNAUSTIN 78753,30.350455,-97.708406,Yes (come to the shelter),8/6/16,Cat,Domestic Medium Hair Mix,Black/White,Intact Male,1 year,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732377&LOCATION=ASTN
91,A732433,1702 FERGUSON LNAUSTIN 78754,30.344728,-97.673883,Yes (come to the shelter),8/7/16,Dog,Labrador Retriever Mix,Chocolate,Intact Male,8 months,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732433&LOCATION=ASTN
92,A732373,619 W POWELL LNAUSTIN 78753,30.350455,-97.708406,Yes (come to the shelter),8/6/16,Cat,Domestic Medium Hair Mix,Black/White,Intact Male,4 weeks,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732373&LOCATION=ASTN
93,A732253,9002 HUNTERS TRACEAUSTIN 78758,30.365437,-97.711976,No (contact for more info),8/4/16,Cat,Domestic Shorthair Mix,Black Tabby,Intact Male,8 weeks,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732253&LOCATION=ASTN
94,A732375,619 W POWELL LNAUSTIN 78753,30.350455,-97.708406,Yes (come to the shelter),8/6/16,Cat,Domestic Medium Hair Mix,Black,Intact Male,4 weeks,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732375&LOCATION=ASTN
95,A732380,619 W POWELL LNAUSTIN 78753,30.350455,-97.708406,Yes (come to the shelter),8/6/16,Cat,Domestic Medium Hair Mix,White/Black,Intact Male,4 weeks,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732380&LOCATION=ASTN
96,A732381,619 W POWELL LNAUSTIN 78753,30.350455,-97.708406,Yes (come to the shelter),8/6/16,Cat,Domestic Medium Hair Mix,Brown Tabby/White,Intact Male,4 weeks,http://www.petharbor.com/get_image.asp?RES=Detail&ID=A732381&LOCATION=ASTN
